标题,价格,销量,店铺,发货地,品牌,型号,货号,玩偶种类,玩具狗种类,适用年龄,卡通角色,玩具类型,颜色分类,版本类型,材质,填充物,高度,是否有导购视频,泰迪熊类型,芭比型号,类型,适用年龄段,产地,玩具系列,当前链接,上级链接,下载时间
1.6米泰迪熊熊猫公仔大号毛绒玩具熊1.8抱抱熊布娃娃生日礼物女生,39.90,8035人付款,卡布琪琪舰店,江苏 扬州,卡布琪,20170424,201704241306,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,浅棕-纯红毛衣 浅棕-红白毛衣 浅棕-蓝白毛衣 深棕-纯红毛衣 深棕-红白毛衣 米白色-红白毛衣 米白-无毛衣 浅棕-无毛衣,原装正版,毛绒,PP棉,1.0米【直角测量】 1.2米【直角测量】 1.4米【直角测量】 1.6米【直角测量】【亏本大促】 1.8米【直角测量】 2.0米【直角测量】 1.6米【直角测量】【亏本大促】,,,,,,,,http://item.taobao.com/item.htm?id=549303712587&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:02
泰迪熊公仔大熊毛绒玩具女生抱抱熊布娃娃熊猫抱枕生日礼物送女友,58.00,2998人付款,悠购旗舰店,江苏 南京,悠购,,泰迪熊A,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,深棕红白条纹-柔软款 深棕大红love爱心-柔软款 浅棕红白条纹-柔软款 咖啡蓝白条纹-柔软款 咖啡红白条纹-柔软款,国产,毛绒,PP棉,60厘米活动促销价 限购2个 直角量1米，全长量80厘米送玫瑰花【彩袋包装】 直角量1.2米，全长量1米送玫瑰花【彩袋包装】 直角量1.4米，全长量1.2米送小熊挂件【彩袋包装】 直角量1.6米，全长量1.4米送小熊【彩袋包装】 直角量1.8米，全长量1.6米送小熊【彩袋包装】 直角量2米，全长量1.8米送小熊【彩袋包装】 直角量2.2米，全长量2米送小熊【彩袋包装】,,情侣熊,,,,,,http://detail.tmall.com/item.htm?id=551851537374&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:03
ins网红cafe-mimi玻尿酸鸭小黄鸭毛绒玩具抱枕娃娃公仔女生日礼物,23.00,7077人付款,托爱玩具旗舰店,江苏 扬州,托爱,,2017bnsxj,鸭鸭,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,送项圈铃铛 蓝帽款 新年款迎春纳福 爱心毛衣情人套装款 圣诞长帽穿衣款 圣诞短帽穿衣款 酷黑黄条纹款 红白条纹套装款 大眼睛发带款 粉兔帽款 长耳兔款 公主帽款 白兔子帽款 粉milk款 小鹿款 米奇款 女王款 红领巾款 红帽子款 青蛙帽款 天才帽款,原装正版,毛绒,PP棉,精美手提袋装 【礼盒纸箱包装】,无,,,,,,,http://detail.tmall.com/item.htm?id=553301318443&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:04
现货Jellycat Bashful Bunny邦尼兔子毛绒公仔玩具 苏瑞 王源同款,130.50,1202人付款,lieyunbao,浙江 杭州,JELLYCAT,,000005579,兔兔,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁,其他,公仔,cream奶油白 郁金香粉 奶油色碎花 蓝风铃草 野兔 棕灰色碎花 beige棕灰色 王源同款 山核桃色 枫树色 郁金香粉碎花 胡桃色 blue浅蓝 果子露粉 风信紫色 Aqua水湖蓝 玫瑰色碎花 银灰色 pink浅粉 浆果色 松露色 星星耳朵 柠檬色 白桦色 藕色 杏色,原装正版,毛绒,PP棉,婴儿款小号18厘米 苏瑞王源同款中号31cm 吴佩慈甜馨同款36cm大号 吴佩慈同款51cm特大号 超大号67厘米,无,,,,,,,http://item.taobao.com/item.htm?id=18878025142&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:04
2018狗年吉祥物毛绒玩具公仔生肖旺财小狗玩偶挂件唐装布娃娃批发,6.50,3269人付款,美智母婴专营店,山东 临沂,乐逗,,NH003,狗狗,其他,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,旺字当头 财运旺旺 吉祥如意 红色旺/福 唐装福字 财神狗 围巾情侣男 围巾情侣女 唐装旺财 鸿运当头,国产,毛绒,PP棉,16厘米 20厘米 25厘米 30厘米 35厘米 40厘米 45厘米 50厘米 60厘米 70厘米,无,,,,,,,http://detail.tmall.com/item.htm?id=560815602384&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:04
迪士尼商店 Disney Store漫画家迪士尼公主收藏娃娃升级版,260.00,1258人付款,disney迪士尼官方旗舰店,上海,Disney/迪士尼,52369,52369,,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,普通娃娃,漫画家公主白雪公主 冰雪奇缘艾莎公主 冰雪奇缘安娜公主 美女与野兽贝儿公主 魔法奇缘长发公主 睡美人爱洛公主 奇妙仙子小叮当 灰姑娘辛德瑞拉 人鱼公主爱丽儿,,,,30-50厘米,,,,娃娃,,中国,,http://detail.tmall.com/item.htm?id=559881253885&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:05
巨型3米4布朗熊公仔特大号3.4超大毛绒玩具熊2.5m送女友布偶娃娃,2359.50,1072人付款,伊人邦睡衣店,江苏 扬州,other/其他,布朗熊,布朗熊,公仔,,4岁 6岁 8岁 10岁 12岁 14岁以上,抱抱熊,公仔,布朗熊 布朗熊会说I LOVE YOU 布朗熊会唱《生日快乐歌》 布朗熊会唱《只对你有感觉》 可妮兔 可妮兔会说“I LOVE YOU” 可妮兔会唱《生日歌》 布朗熊蓝牙款 布朗熊录音款,国产,毛绒,PP棉,50厘米 70厘米 1米【送同款35厘米】 1.2米【送同款35厘米】 1.6米【送同款35厘米】 1.8米【送同款50厘米】 2米【送同款50厘米】 2.2米【送同款50厘米】 2.5米【送50厘米】头部充气 3.4米【送50厘米】头部充气,,,,,,,,http://item.taobao.com/item.htm?id=553657098430&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:05
正版粉红豹公仔粉红顽皮豹毛绒玩具抱枕布娃娃女生圣诞节礼物玩偶,42.00,5320人付款,麦童阁玩具专营店,江苏 扬州,伊菲迪诺,粉红豹,2017-3-22,狐狸/豹,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,粉红顽皮豹,公仔,白T恤1 灰色卫衣粉红豹 红色卫衣粉红豹 蓝绿色卫衣粉红豹 棕色卫衣粉红豹 基础款 白T恤 黑色,原装正版,毛绒,PP棉,80厘米（随机送海豚挂件一个） 1.1米（随机送30cm毛绒玩具） 1.3米（随机送30cm毛绒玩具） 1.8米（随机送30cm毛绒玩具） 1.5米（随机送30cm毛绒玩具） 55厘米（随机送海豚挂件一个）,无,,,,,,,http://detail.tmall.com/item.htm?id=547115965943&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:06
哈士奇公仔狗狗毛绒玩具偶布娃娃可爱女生睡觉抱枕狗年吉祥物女孩,45.00,6386人付款,彤乐旗舰店,江苏 扬州,彤乐,,TL-990210,狗狗,哈士奇,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,哈士奇-（可拆洗毛衣可脱）,国产,毛绒,PP棉,【比较小不宜送礼】50厘米【连尾巴量】送仿真玫瑰 【朋友送礼】70厘米【连尾巴量】送仿真玫瑰 【日常陪伴】1米【连尾巴量 】送20厘米可爱狗+玫瑰+香包 【活动促销价】1.2米连尾巴量（送香包） 【女生欢喜】1.2米【连尾巴量 】送20厘米可爱狗+玫瑰+香包 【活动抢购价】1.3米连尾巴量（送香包） 【女神大爱】1.5米【连尾巴量 】送20厘米可爱狗+玫瑰+香包 【霸占半个床】1.7米【连尾巴量 】送50厘米哈士奇+可爱狗+玫瑰 【巨无霸】2米【连尾巴量】送50厘米哈士奇+可爱狗+玫瑰 【送给重要的人】2.6米【连尾巴量】送70厘米哈士奇+可爱狗+玫瑰,无,,,,,,,http://detail.tmall.com/item.htm?id=528730898768&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:06
韩国布朗熊公仔毛绒玩具可妮兔抱枕可爱萌布娃娃圣诞节礼物送女友,59.00,3665人付款,萌牛丶特能输,江苏 扬州,默默爱,,布朗熊公仔,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,【经典】布朗熊 【刻字款 定制祝福语】可妮兔 【刻字款 定制祝福语】布朗熊 【经典】可妮兔 【红白条纹】布朗熊 【红白条纹】可妮兔 【蓝白条纹】布朗熊 【蓝白条纹】可妮兔 【红爱心】布朗熊 【红爱心】可妮兔 【英伦风】布朗熊 【英伦风】可妮兔,原装正版,毛绒,PP棉,【活动款】90厘米（送同款摆件 70厘米（送布朗熊摆件） 1.15米（送35厘同款） 1.3米（送35厘米同款） 1.7米（送35厘米同款） 2.5米【巨无霸】,无,,,,,,,http://item.taobao.com/item.htm?id=553293642310&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:07
2018狗年吉祥物公仔狗狗毛绒玩具小狗玩偶定制新年生肖旺财狗批发,1.90,3858人付款,kiggeee,浙江 金华,伊美娃娃,,ZK29,其他,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 12岁 13岁 14岁 14岁以上,其他,公仔,旺财狗红30厘米 旺财狗黄30厘米 拜年娃娃男款30cm 拜年娃娃女款30cm 红包狗女25厘米 红包狗男25厘米 宫廷狗红35cm 宫廷狗黄35cm 喜庆站狗30厘米 吉祥狗30厘米 福旺狗粉30厘米 福旺狗黄30厘米 福旺狗红30厘米 旺旺领结狗35厘米 招财进宝30厘米 酷狗35厘米 拜年娃娃女款40厘米 拜年娃娃男40厘米 旺财红40厘米 旺财黄40厘米 喜庆站狗40厘米 拜年娃娃男50cm 拜年娃娃女50cm 招财进宝40厘米 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,国产,毛绒,PP棉,单个价格颜色随机,无,,,,,,,http://item.taobao.com/item.htm?id=42102640308&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:07
大熊1.6毛绒玩具送女友泰迪熊猫2米布娃娃抱抱熊公仔圣诞节礼物女,99.00,3874人付款,大奇玩具旗舰店,江苏 扬州,大奇,,刺猬熊,熊熊,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,红色爱心毛衣熊 棕色毛衣熊 灰色毛衣熊 红白条纹毛衣熊 蓝白条毛衣熊,国产,毛绒,PP棉,2.0米（袋装+小公仔） 促销价直角量1米（全长80厘米） 1米（袋装+小挂件） 1.2米（袋装+小挂件） 1.4米（袋装+仿真玫瑰花） 1.6米（袋装+仿真玫瑰花） 1.8米（袋装+仿真玫瑰花） 1米（箱装+小挂件） 1.2米（箱装+小挂件） 1.4米（箱装+仿真玫瑰花） 1.6米（箱装+仿真玫瑰花） 1.8米（箱装+仿真玫瑰花） 2.0米（箱装+小公仔）,无,,,,,,,http://detail.tmall.com/item.htm?id=532205865473&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:08
正版哆啦a梦公仔机器猫毛绒玩具叮当猫蓝胖子娃娃女生生日礼物,35.00,4391人付款,迪卡梦玩具专营店,江苏 扬州,Aoger/澳捷尔,,哆啦A梦公仔,猫咪,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,哆啦A梦/机器猫,公仔,经典款 亲亲款 大笑款 送爱心 送四叶幸运草 送幸运五星 送记忆面包 浪漫甜心送爱心款 送情书,原装正版,毛绒,PP棉,【正版授权】9寸，坐高25厘米（送爱心香包） 【正版授权】12寸，坐高33厘米（送爱心香包） 【正版授权】16寸，坐高40厘米（送爱心香包） 【正版授权】20寸，坐高55厘米（送正版7寸机器猫公仔） 【正版授权】26寸，坐高68厘米（送正版7寸机器猫公仔） 【正版授权】30寸，坐高80厘米（限量款，送正版7寸机器猫公仔）,,,,,,,,http://detail.tmall.com/item.htm?id=39494832359&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:08
可爱胡萝卜抱枕毛绒玩具大萝卜公仔布娃娃抱睡觉玩偶超萌女生礼物,32.00,5508人付款,晒乐玩具专营店,天津,伊美娃娃,,ymlb-01,水果系列,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,靠垫/抱枕,微笑款 睡觉款 大笑,国产,毛绒,PP棉,"【收藏送28cm萝卜公仔】50厘米 【收藏送28cm萝卜公仔】120厘米【震撼款】 【收藏送28cm萝卜公仔,每日限供20个】120厘米【震撼款】 100cm【新年活动价仅48元】 【收藏送28cm萝卜公仔】70厘米 【收藏送28cm萝卜公仔】100厘米【收藏活动价】",无,,,,,,,http://detail.tmall.com/item.htm?id=559094883670&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:08
GUND 可爱狗狗毛绒玩具BOO仿真狗狗小布萌玩偶女生狗年吉祥物公仔,89.00,2386人付款,gund旗舰店,上海,GUND,BOO集合款,4056233,狗狗,博美,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,雪人装 邦尼兔 海盗装 蜜蜂装 芭蕾装 美人鱼 唐装 红衣连帽衫 小怪物 白熊装 小黄鸭 恐龙装 兔子装 美国帽 圣诞款 生日公主 蓝色毛衣 经典款 青蛙款 熊猫款 雪精灵 狮子装20CM,原装正版,毛绒,PP棉,13厘米 22厘米,有,,,,,,,http://detail.tmall.com/item.htm?id=553421082930&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=176,2018-01-12 09:47:09
毛绒玩具泰迪熊公仔抱抱熊女孩可爱熊猫布娃娃大熊生日礼物送女友,52.00,3771人付款,卡沙巴王子创大专卖店,广东 深圳,卡沙巴王子,抱抱熊,泰迪熊公仔,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,爱的就是你 快乐每一天 生日快乐 送给最爱的人 1314爱你 爱的就是你（粉色） 快乐每一天（粉色） 生日快乐（粉色） 送给最爱的人（粉色） 1314爱你（粉色）,原装正版,毛绒,PP棉,【标准平躺直量】—中号 70厘米 【标准平躺直量】—大号90厘米 【标准平躺直量】—加大号1.1米（热卖） 【标准平躺直量】—加大号1.3米(送人有面子) 【标准平躺直量】—巨无霸1.6米,无,单熊,,,,,,http://detail.tmall.com/item.htm?id=536131799724&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:10
生肖唐装旺财狗毛绒玩具小狗礼品抓机娃娃狗年吉祥物公仔定制批发,4.10,3582人付款,酷狼奇玩具,江苏 扬州,7711,,0007,公仔,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 13岁 14岁 14岁以上,大头狗,公仔,碎花狗18厘米 穿衣狗18厘米 花花狗20厘米 小红狗10厘米 侧身绸缎狗20厘米 耳朵福狗20厘米 鸿运狗20厘米 泰迪犬40厘米 金色斗牛犬22厘米 财神狗22厘米 苹果福印花狗25厘米 侧身花布狗22厘米 美人狗19厘米 喜庆狗20厘米 站立花布狗20厘米 铃铛财运狗22厘米 20厘米左右狗混批 12厘米左右狗混批 旺旺狗20厘米 福字祥云狗20厘米 恭喜发财狗25厘米 均阳唐装狗25厘米 哮天犬25厘米 印花狗16厘米 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫色 咖啡色 巧克力色 栗色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,国产,毛绒,PP棉,单只价格颜色混搭,,,,,,,,http://item.taobao.com/item.htm?id=39515451962&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:10
英国jellycat经典害羞系列正版邦尼兔米色柔软毛绒宝宝玩具公仔,285.00,1205人付款,jellycat海外旗舰店,英国,,,,,,,,,,,,,,,,,,,,,http://detail.tmall.com/item.htm?id=45315502492&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:11
2018狗年吉祥物公仔挂件毛绒玩具玩偶娃娃新年礼物年会礼品送女生,8.90,7121人付款,魔鱼豆豆玩具专营店,江苏 扬州,晓晓,,1801,公仔,,14岁以上,其他,公仔,旺财狗可爱款（黄脸） 旺财狗可爱款（白脸） 送福狗 旺旺福狗笑脸款 旺旺福狗圆眼款 财神狗 花布狗红色 花布狗蓝色 棕色 红色 黄色斑点狗 红色斑点狗 Q版哈士奇,原装正版,毛绒,PP棉,24厘米 30厘米 10厘米 20厘米 40厘米 15厘米,无,,,,,,,http://detail.tmall.com/item.htm?id=561684674809&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:11
新婚压床礼物一对布娃娃金童玉女情侣娃娃结婚礼品婚庆娃娃喜娃,50.00,3218人付款,xynh05,江苏 扬州,小棕熊,,,其他,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,福袋款天生一对 双喜款天生一对 刺绣款腮红 刺绣腮红定制（内容留言） 圆眼款天生一对 双喜天生一对定制（内容留言） 天生一对（活动款） 新款郎才女貌（箱装） 新款才子佳人,国产,毛绒,PP棉,50cm限时促销，每天20名 50cm亏本促销+礼品袋 50cm（礼品袋+头纱+虎头鞋 65cm（亏本促销） 65cm礼品袋+头纱+虎头鞋 80cm（礼品袋+头纱+虎头鞋 55cm箱装+礼品袋+虎头鞋,,,,,,,,http://item.taobao.com/item.htm?id=520766019326&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:12
婚庆毛绒玩具公仔 结婚礼品抓机娃娃婚礼小玩偶毛绒抛洒礼物批发,0.68,1108人付款,咕嘟小窝玩具,江苏 扬州,other/其他,111,AD0001,公仔,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,10厘米以下（小挂件） 10-15厘米（婚庆抛洒） 10-16厘米（精品挂件） 20厘米左右（抓机质量较差） 20厘米左右（抓机专用） 20-30厘米（精品礼物） 30-35厘米（婚庆质量一般） 30-40厘米（婚庆精品） 40-50厘米（婚礼活动专用） 50-70厘米（婚礼游戏奖品） 70-90厘米（婚庆抽奖） 1米左右（婚庆压轴） 1.2米左右（压轴娃娃）,国产,毛绒,PP棉,如图部分展示款式颜色随机发货,无,,,,,,,http://item.taobao.com/item.htm?id=41118094315&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:12
英国jellycat害羞粉色郁金香邦尼兔柔软毛绒玩具公仔,519.00,1225人付款,jellycat海外旗舰店,英国,JELLYCAT,,BAS3BTP-,兔兔,,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,郁金香,原装正版,毛绒,PP棉,13cm 18CM 36cm 51cm 67cm 31cm,,,,,,,,http://detail.tmall.com/item.htm?id=520923086805&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=264,2018-01-12 09:47:12
